"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","RPM","F Heave","F Roll","R Heave","R Roll","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","Inverter Enable","D4 Gate Driver B","D3 Module C","D1 Control Board","D4 Torque Shudde","D3 Motor Tempera","D2 Motor Speed","D4 DC Bus Curren","D1 Phase A Curre","D3 Phase C Curre","D2 Phase B Curre","D4 VBC Vq Voltag","D3 VAB Vd Voltag","D2 Output Voltag","D1 DC Bus Voltag","D4 Iq","D3 Id","D2 Flux Feedback","D1 Flux Command","D7 Direction Com","D6 Inverter Enab","D7 BMS Torque Li","D1 Commanded Tor","D2 Torque Feedba","D4 Iq Command","D3 Id Command","Fast Torque Comm","Fast Torque Feed","Fast Motor Speed","Fast DC Bus Volt","Inverter Enable dup 1","Speed Mode Enabl","Direction Comman","Torque Command","Inverter Dischar","Torque Limit Com","Current","Voltage","RDTActive","D3 HV Input Current","SteeringWheelPos","BrakeLightActive","TSAL Active","BrakeSensor1","BrakeSensor2","SpeedFrontRight","SpeedRearLeft","SpeedFrontLeft","SpeedRearRight","SpeedFrontRightMph","SpeedRearLeftMph","SpeedFrontLeftMph","SpeedRearRightMph","FrontLeft","FrontRight","RearLeft","RearRight","Temperature","CoolantTemp","MotorPumpStatus1","MotorPumpStatus2","APPS1","APPS2","LV Current","LV Voltage","HeartBit","Pack Current","Pack Inst Voltag","Pack SOC","Average Temperat","Pack DCL","High Temperature","Low Temperature","High Cell Voltag","Low Cell Voltage","MultiPurpose  01","Maximum Pack Vol","Minimum Cell Vol","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"0.000","3.6134","3","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","200.0000","8.1400","10000.0000","40.84874490","-80.34581359","38.7500","11.3360","0.0000","7.8711","-2.9004","6.9297","-2.6738","-0.0079","0.0236","-0.9976","0.4609","-0.0592","-0.3181","113.8750","0.0000","29.1000","27.7000","28.6000","0.0000","26.7000","0.0000","0.0000","0.8000","0.7000","0.6000","0.1000","-0.5000","0.0000","0.6000","-0.2000","1.0000","-18.5420","0.0340","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.6000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5.0814","3.0337","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","36.5625","0.0000","0.0000","0.0000","-3.0200","-3.3100","1.5600","16580.0000","0.0000","0.0000","345699.9688","61.5000","25.0000","150.0000","38.0000","12.0000","3.6000","20.0000","1.0000","0.0000","0.0000","8.0829","3.0000","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","6548100.0000","10000.0000","40.8487","-80.3458"
"0.050","3.6134","3","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","200.0000","8.1400","10000.0000","40.84874490","-80.34581359","38.7500","11.3360","0.0000","7.8711","-2.9004","6.9297","-2.6738","-0.0081","0.0241","-0.9968","0.4609","-0.0592","-0.3181","113.8750","0.0000","29.1000","27.7000","28.6000","0.0000","26.7000","0.0000","0.0000","0.8000","0.7000","0.6000","0.1000","-0.5000","0.0000","0.6000","-0.2000","1.0000","-18.5420","0.0340","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.6000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5.0814","3.0337","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","36.5625","0.0000","0.0000","0.0000","-3.0200","-3.3100","1.5600","16580.0000","0.0000","0.0000","345699.9688","61.5000","25.0000","150.0000","38.0000","12.0000","3.6000","20.0000","1.0000","0.0000","0.0000","8.0829","3.0000","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","6548100.0000","10000.0000","40.8487","-80.3458"
"0.100","3.6134","3","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","200.0000","8.1400","10000.0000","40.84874490","-80.34581359","38.7500","11.3360","0.0000","7.8711","-2.9004","6.9297","-2.6738","-0.0089","0.0252","-0.9966","0.4609","-0.0592","-0.3181","113.8750","0.0000","29.1000","27.7000","28.6000","0.0000","26.7000","0.0000","0.0000","0.8000","0.7000","0.6000","0.1000","-0.5000","0.0000","0.6000","-0.2000","1.0000","-18.5420","0.0340","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.6000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5.0814","3.0337","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","36.5625","0.0000","0.0000","0.0000","-3.0200","-3.3100","1.5600","16580.0000","0.0000","0.0000","345699.9688","61.5000","25.0000","150.0000","38.0000","12.0000","3.6000","20.0000","1.0000","0.0000","0.0000","8.0829","3.0000","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","6548100.0000","10000.0000","40.8487","-80.3458"
"0.150","3.6134","3","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","200.0000","8.1400","10000.0000","40.84874490","-80.34581359","38.7500","11.3360","0.0000","7.8711","-2.9004","6.9297","-2.6738","-0.0088","0.0234","-0.9966","0.4609","-0.0592","-0.3181","113.8750","0.0000","29.1000","27.7000","28.6000","0.0000","26.7000","0.0000","0.0000","0.8000","0.7000","0.6000","0.1000","-0.5000","0.0000","0.6000","-0.2000","1.0000","-18.5420","0.0340","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.6000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5.0814","3.0337","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","36.5625","0.0000","0.0000","0.0000","-3.0200","-3.3100","1.5600","16580.0000","0.0000","0.0000","345699.9688","61.5000","25.0000","150.0000","38.0000","12.0000","3.6000","20.0000","1.0000","0.0000","0.0000","8.0829","3.0000","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","6548100.0000","10000.0000","40.8487","-80.3458"
"0.200","3.6134","3","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","200.0000","8.1400","10000.0000","40.84874490","-80.34581359","38.7500","11.3360","0.0000","7.8711","-2.9004","6.9297","-2.6738","-0.0080","0.0233","-0.9966","0.4609","-0.0592","-0.3181","113.8750","0.0000","29.1000","27.7000","28.6000","0.0000","26.7000","0.0000","0.0000","0.8000","0.7000","0.6000","0.1000","-0.5000","0.0000","0.6000","-0.2000","1.0000","-18.5420","0.0340","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.6000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5.0814","3.0337","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","36.5625","0.0000","0.0000","0.0000","-3.0200","-3.3100","1.5600","16580.0000","0.0000","0.0000","345699.9688","61.5000","25.0000","150.0000","38.0000","12.0000","3.6000","20.0000","1.0000","0.0000","0.0000","8.0829","3.0000","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","6548100.0000","10000.0000","40.8487","-80.3458"
"0.250","3.6134","3","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","200.0000","8.1400","10000.0000","40.84874490","-80.34581359","38.7500","11.3360","0.0000","7.8711","-2.9004","6.9297","-2.6738","-0.0085","0.0251","-0.9961","0.4796","-0.0661","-0.2997","113.8750","0.0000","29.1000","27.7000","28.6000","0.0000","26.7000","0.0000","0.0000","0.7529","0.7353","0.5882","0.1000","-0.5000","0.0000","0.6000","-0.2000","1.0000","-18.5420","0.0340","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.6000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5.0814","3.0337","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","36.5625","0.0000","0.0000","0.0000","-3.0200","-3.3100","1.5600","16580.0000","0.0000","0.0000","345699.9688","61.5000","25.0000","150.0000","38.0000","12.0000","3.6000","20.0000","1.0000","0.0000","0.0000","8.0829","3.0000","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","6548100.0000","10000.0000","40.8487","-80.3458"
"0.300","3.6134","3","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","200.0000","8.1400","10000.0000","40.84874490","-80.34581359","38.7500","11.3360","0.0000","7.8711","-2.9004","6.9297","-2.6738","-0.0090","0.0238","-0.9966","0.4878","-0.0724","-0.3074","113.8750","0.0000","29.1000","27.7000","28.6000","0.0000","26.7000","0.0000","0.0000","0.5569","0.8824","0.5392","0.1000","-0.5000","0.0000","0.6000","-0.2000","1.0000","-18.5420","0.0340","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0495","0.0000","0.6000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5.0814","3.0361","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","36.5625","0.0000","0.0000","0.0000","-3.0200","-3.3100","1.5733","16581.9043","0.0000","0.0000","345699.9688","61.5000","25.0000","150.0000","38.0000","12.0000","3.6095","19.9905","1.0000","0.0000","0.0000","8.0829","3.0000","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","6548100.0000","10000.0000","40.8487","-80.3458"
"0.350","3.6134","3","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","200.0000","8.1400","10000.0000","40.84874490","-80.34581359","38.7500","11.3360","0.0000","7.8711","-2.9004","6.9297","-2.6738","-0.0092","0.0232","-0.9966","0.4701","-0.0995","-0.3247","113.8750","0.0000","29.1000","27.7000","28.6000","0.0000","26.7000","0.0980","0.0000","0.4000","0.9608","0.5000","0.0706","-0.4804","0.0000","0.6196","-0.2000","1.0000","-18.5420","0.0340","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1032","0.0323","0.6032","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5.0814","3.0602","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","36.5625","0.0000","0.0000","0.0000","-3.0176","-3.3124","1.6067","16586.6660","0.0000","0.0000","345699.9688","61.5000","25.0000","150.0000","38.0000","12.0000","3.6571","19.9429","1.0000","0.0000","0.0000","8.0829","3.0000","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","6548100.0000","10000.0000","40.8487","-80.3458"
"0.400","3.6134","3","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","200.0000","8.1400","10000.0000","40.84874490","-80.34581359","38.7500","11.3360","0.0000","7.9094","-2.8891","6.8969","-2.6500","-0.0092","0.0248","-0.9966","0.4534","-0.0861","-0.3369","113.8750","0.0000","29.1000","27.7000","28.6000","0.0000","26.7000","0.5882","0.0000","0.4000","0.7647","0.5000","-0.0765","-0.3824","0.0000","0.7176","-0.2000","1.0000","-18.5420","0.0340","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1570","0.5699","0.6570","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5.0870","3.0820","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","36.5625","0.0000","0.0000","0.0000","-2.9974","-3.3326","1.6414","16592.8574","0.0000","0.0000","345699.9688","61.5000","25.0000","150.0000","38.0000","12.0000","3.6903","19.9049","1.0000","0.0000","0.0000","8.0829","3.0000","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","6548100.0000","10000.0000","40.8487","-80.3458"
"0.450","3.6134","3","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","200.0000","8.1400","10000.0000","40.84874490","-80.34581359","38.7500","11.3360","0.0000","7.8844","-2.9020","6.9844","-2.6891","-0.0091","0.0245","-0.9968","0.4540","-0.1016","-0.3274","113.8750","0.0000","29.1000","27.7000","28.6000","0.0000","26.7000","0.9216","0.0000","0.4157","0.5843","0.5000","-0.1843","-0.3157","0.0000","0.7922","-0.2088","1.0176","-18.5420","0.0340","1.0000","0.0000","0.0000","0.0000","-0.0088","0.0000","0.0000","0.0000","-0.1785","0.8925","0.7000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5.1427","3.0820","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","36.5625","0.0000","0.0000","0.0000","-2.9845","-3.3474","1.6795","16602.3809","0.0000","0.0000","345699.9688","61.5000","25.0000","150.0000","38.0000","12.0000","3.5932","19.9534","1.0000","0.0000","0.0000","8.0829","3.0000","0.0000","0.0000","-0.0876","-112.0330","0.0000","323.3790","6548100.0000","10000.0000","40.8487","-80.3458"
