Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,LoggerTemp,External Voltage,RPM,F Heave,F Roll,R Heave,R Roll,InlineAcc,LateralAcc,VerticalAcc,RollRate,PitchRate,YawRate,Luminosity,Inverter Enable,D4 Gate Driver B,D3 Module C,D1 Control Board,D4 Torque Shudde,D3 Motor Tempera,D2 Motor Speed,D4 DC Bus Curren,D1 Phase A Curre,D3 Phase C Curre,D2 Phase B Curre,D4 VBC Vq Voltag,D3 VAB Vd Voltag,D2 Output Voltag,D1 DC Bus Voltag,D4 Iq,D3 Id,D2 Flux Feedback,D1 Flux Command,D7 Direction Com,D6 Inverter Enab,D7 BMS Torque Li,D1 Commanded Tor,D2 Torque Feedba,D4 Iq Command,D3 Id Command,Fast Torque Comm,Fast Torque Feed,Fast Motor Speed,Fast DC Bus Volt,Inverter Enable dup 1,Speed Mode Enabl,Direction Comman,Torque Command,Inverter Dischar,Torque Limit Com,Current,Voltage,RDTActive,D3 HV Input Current,SteeringWheelPos,BrakeLightActive,TSAL Active,BrakeSensor1,BrakeSensor2,SpeedFrontRight,SpeedRearLeft,SpeedFrontLeft,SpeedRearRight,SpeedFrontRightMph,SpeedRearLeftMph,SpeedFrontLeftMph,SpeedRearRightMph,FrontLeft,FrontRight,RearLeft,RearRight,Temperature,CoolantTemp,MotorPumpStatus1,MotorPumpStatus2,APPS1,APPS2,LV Current,LV Voltage,HeartBit,Pack Current,Pack Inst Voltag,Pack SOC,Average Temperat,Pack DCL,High Temperature,Low Temperature,High Cell Voltag,Low Cell Voltage,MultiPurpose  01,Maximum Pack Vol,Minimum Cell Vol,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS Radius,GPS Latitude,GPS Longitude,Distance on GPS Speed
0,9.1394,3,0,0,0.0494,-120.7952,0,331.0641,200,10000,10000,40.84836807,-80.34420897,40.8125,11.264,0,13.8359,-3.6191,10.0859,-2.7617,-0.0044,-0.0316,-0.9946,1.1963,-0.1517,-0.4297,62.8125,0,35.7,32.9,35.2,0,40.2,0,0,0.2,0,0,0.3,-0.3,0,0.5,0,-0.2,-18.542,0.034,1,0,0,0,0,0,0,0,0.3,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,5.9226,3.7714,0,0,0,0,0,0,0,0,0,0,0,0,36.75,0,0,0,-2.06,-2.65,1.63,18930,0,0,333999.9688,43,28,150,42,15,0.9,18.4,1,0,0,20.4443,3,0,0,0.0494,-120.7952,0,331.0641,9903500,10000,40.8484,-80.3442,0
0.05,9.1394,3,0,0,0.0494,-120.7952,0,331.0641,200,10000,10000,40.84836807,-80.34420897,40.8125,11.264,0,13.8359,-3.6191,10.0859,-2.7617,-0.0046,-0.0324,-0.9949,1.1963,-0.1517,-0.4297,62.8125,0,35.7,32.9,35.2,0,40.2,0,0,0.2,0,0,0.3,-0.3,0,0.5,0,-0.2,-18.542,0.034,1,0,0,0,0,0,0,0,0.3,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,5.9226,3.7714,0,0,0,0,0,0,0,0,0,0,0,0,36.75,0,0,0,-2.06,-2.65,1.63,18930,0,0,333999.9688,43,28,150,42,15,0.9,18.4,1,0,0,20.4443,3,0,0,0.0494,-120.7952,0,331.0641,9903500,10000,40.8484,-80.3442,0.2043
0.1,9.1394,3,0,0,0.0494,-120.7952,0,331.0641,200,10000,10000,40.84836807,-80.34420897,40.8125,11.264,0,13.8359,-3.6191,10.0859,-2.7617,-0.0042,-0.0313,-0.9946,1.1963,-0.1517,-0.4297,62.8125,0,35.7,32.9,35.2,0,40.2,0,0,0.2,0,0,0.3,-0.3,0,0.5,0,-0.2,-18.542,0.034,1,0,0,0,0,0,0,0,0.3,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,5.9226,3.7714,0,0,0,0,0,0,0,0,0,0,0,0,36.75,0,0,0,-2.06,-2.65,1.63,18930,0,0,333999.9688,43,28,150,42,15,0.9,18.4,1,0,0,20.4443,3,0,0,0.0494,-120.7952,0,331.0641,9903500,10000,40.8484,-80.3442,0.4086
0.15,9.1394,3,0,0,0.0494,-120.7952,0,331.0641,200,10000,10000,40.84836807,-80.34420897,40.8125,11.264,0,13.8359,-3.6191,10.0859,-2.7617,-0.0046,-0.0305,-0.9941,1.1963,-0.1517,-0.4297,62.8125,0,35.7,32.9,35.2,0,40.2,0,0,0.2,0,0,0.3,-0.3,0,0.5,0,-0.2,-18.542,0.034,1,0,0,0,0,0,0,0,0.3,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,5.9226,3.7714,0,0,0,0,0,0,0,0,0,0,0,0,36.75,0,0,0,-2.06,-2.65,1.63,18930,0,0,333999.9688,43,28,150,42,15,0.9,18.4,1,0,0,20.4443,3,0,0,0.0494,-120.7952,0,331.0641,9903500,10000,40.8484,-80.3442,0.6129
0.2,9.1394,3,0,0,0.0494,-120.7952,0,331.0641,200,10000,10000,40.84836807,-80.34420897,40.8125,11.264,0,13.8359,-3.6191,10.0859,-2.7617,-0.0053,-0.0308,-0.9951,1.1963,-0.1517,-0.4297,62.8125,0,35.7,32.9,35.2,0,40.2,0,0,0.2,0,0,0.3,-0.3,0,0.5,0,-0.2,-18.542,0.034,1,0,0,0,0,0,0,0,0.3,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,5.9226,3.7714,0,0,0,0,0,0,0,0,0,0,0,0,36.75,0,0,0,-2.06,-2.65,1.63,18930,0,0,333999.9688,43,28,150,42,15,0.9,18.4,1,0,0,20.4443,3,0,0,0.0494,-120.7952,0,331.0641,9903500,10000,40.8484,-80.3442,0.8171
0.25,9.1394,3,0,0,0.0494,-120.7952,0,331.0641,200,10000,10000,40.84836807,-80.34420897,40.8125,11.264,0,13.8359,-3.6191,10.0859,-2.7617,-0.0044,-0.0313,-0.9944,1.2173,-0.1375,-0.4463,62.8125,0,35.7,32.9,35.2,0,40.2,0,0,0.2,0,0,0.3,-0.3,0,0.5,0,-0.2,-18.542,0.034,1,0,0,0,0,0,0,0,0.3,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,5.9226,3.7714,0,0,0,0,0,0,0,0,0,0,0,0,36.75,0,0,0,-2.06,-2.65,1.63,18930,0,0,333999.9688,43,28,150,42,15,0.9,18.4,1,0,0,20.4443,3,0,0,0.0494,-120.7952,0,331.0641,9903500,10000,40.8484,-80.3442,1.0214
0.3,9.1394,3,0,0,0.0494,-120.7952,0,331.0641,200,10000,10000,40.84836807,-80.34420897,40.8125,11.264,0,13.8359,-3.6191,10.0859,-2.7617,-0.0034,-0.0311,-0.9941,1.2119,-0.1338,-0.4539,62.8125,0,35.7,32.9,35.2,0,40.2,0,0,0.2,0,0,0.3,-0.3,0,0.5,0,-0.2,-18.542,0.034,1,0,0,0,0,0,0,0,0.3,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,5.9226,3.7714,0,0,0,0,0,0,0,0,0,0,0,0,36.75,0,0,0,-2.06,-2.65,1.63,18930,0,0,333999.9688,43,28,150,42,15,0.9,18.4,1,0,0,20.4443,3,0,0,0.0494,-120.7952,0,331.0641,9903500,10000,40.8484,-80.3442,1.2257
0.35,9.1394,3,0,0,0.0494,-120.7952,0,331.0641,200,10000,10000,40.84836807,-80.34420897,40.8125,11.264,0,13.8359,-3.6191,10.0859,-2.7617,-0.0038,-0.0308,-0.9951,1.1992,-0.1016,-0.4506,62.8125,0,35.7,32.9,35.2,0,40.2,0,0,0.2,0,0,0.3,-0.3,0,0.5,0,-0.2,-18.542,0.034,1,0,0,0,0,0,0,0,0.3,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,5.9226,3.7714,0,0,0,0,0,0,0,0,0,0,0,0,36.75,0,0,0,-2.06,-2.65,1.63,18930,0,0,333999.9688,43,28,150,42,15,0.9,18.4,1,0,0,20.4443,3,0,0,0.0494,-120.7952,0,331.0641,9903500,10000,40.8484,-80.3442,1.43
0.4,9.1394,3,0,0,0.0494,-120.7952,0,331.0641,200,10000,10000,40.84836807,-80.34420897,40.8125,11.264,0,13.8438,-3.6012,10.0609,-2.7637,-0.0038,-0.0312,-0.9951,1.1992,-0.0758,-0.4312,62.3672,0,35.7,32.9,35.2,0,40.2,0,0,0.2157,0.0157,-0.0078,0.2843,-0.2843,0,0.5,-0.0078,-0.2235,-18.542,0.034,1,0,0,0,0,0,0,0,0.3,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,5.9226,3.7714,0,0,0,0,0,0,0,0,0,0,0,0,36.75,0,0,0,-2.0578,-2.6517,1.63,18930,0,0,333999.9688,43,28,150,42,15,0.9,18.3724,1,0,0,20.4443,3,0,0,0.0494,-120.7952,0,331.0641,9903500,10000,40.8484,-80.3442,1.6343
0.45,9.1394,3,0,0,0.0494,-120.7952,0,331.0641,200,10000,10000,40.84836807,-80.34420897,40.8125,11.264,0,13.8391,-3.5848,10.0844,-2.7938,-0.0036,-0.0314,-0.9956,1.1958,-0.0964,-0.4266,61.625,0,35.7,32.9,35.2,0,40.2,0,0,0.3137,0.1137,-0.0569,0.1863,-0.1863,0,0.5,-0.0569,-0.3706,-18.542,0.034,1,0,0,0,0,0,0,0,0.3258,0,0.5871,0,0,1,0,0,0,0,0,0,0,0,0,0,5.9364,3.7576,0,0,0,0,0,0,0,0,0,0,0,0,36.75,0,0,0,-2.0394,-2.6654,1.6227,18918.5312,0,0,333999.9688,43,28,150,42,15,0.9,18.3248,1,0,0,20.4443,3,0,0,0.0494,-120.7952,0,331.0641,9903500,10000,40.8484,-80.3442,1.8386
